 cRate, 2, temp, 6
 cRate, 11, temp, 39
 cRate, 5, temp, 6
 cRate, 7, temp, 17
 cRate, 7, temp, 39
 cRate, 0, temp, 13
 cRate, 2, temp, 15
 cRate, 4, temp, 20
 cRate, 1, temp, 14
 cRate, 7, temp, 8
 cRate, 7, temp, 9
 cRate, 9, temp, 12
 cRate, 2, temp, 37
 cRate, 5, temp, 25
 cRate, 4, temp, 28
 cRate, 1, temp, 5
 cRate, 11, temp, 27
 cRate, 2, temp, 21
 cRate, 5, temp, 32
 cRate, 10, temp, 46
 cRate, 3, temp, 36
 cRate, 3, temp, 1
 cRate, 6, temp, 19
 cRate, 10, temp, 35
 cRate, 4, temp, 13
 cRate, 8, temp, 38
 cRate, 8, temp, 21
 cRate, 6, temp, 6
 cRate, 4, temp, 44
 cRate, 1, temp, 28
 cRate, 7, temp, 37
 cRate, 0, temp, 47
 cRate, 0, temp, 16
 cRate, 6, temp, 24
 cRate, 8, temp, 43
 cRate, 4, temp, 2
 cRate, 5, temp, 25
 cRate, 2, temp, 3
 cRate, 0, temp, 34
 cRate, 1, temp, 2
 cRate, 0, temp, 6
 cRate, 6, temp, 12
 cRate, 9, temp, 49
 cRate, 10, temp, 26
 cRate, 11, temp, 47
 cRate, 5, temp, 45
 cRate, 0, temp, 23
 cRate, 11, temp, 45
 cRate, 6, temp, 39
 cRate, 3, temp, 4
